num = 84, N = 51, Q = 1101, D = 5, queryCount = 3813, nowTime = 0.00342, haipara = 200226, score =   13834, sum =  49267052
num = 85, N = 91, Q = 1274, D = 22, queryCount = 1524, nowTime = 0.003203, haipara = 1099855, score =   88563, sum =  49355615
num = 86, N = 39, Q = 309, D = 5, queryCount = 5299537, nowTime = 1.30008, haipara = 200256, score =   39351, sum =  49394966
num = 87, N = 58, Q = 125, D = 2, queryCount = 99097, nowTime = 0.052459, haipara = 200306, score =   14501, sum =  49409467
num = 88, N = 30, Q = 227, D = 5, queryCount = 237, nowTime = 0.000619, haipara = 1079919, score =   74969, sum =  49484436
num = 89, N = 89, Q = 2489, D = 13, queryCount = 6005, nowTime = 0.006793, haipara = 200226, score =   43789, sum =  49528225
num = 90, N = 69, Q = 403, D = 11, queryCount = 4038511, nowTime = 1.30009, haipara = 200316, score =  265746, sum =  49793971
num = 91, N = 74, Q = 2358, D = 12, queryCount = 8844, nowTime = 0.007801, haipara = 200266, score =   30463, sum =  49824434
num = 92, N = 53, Q = 960, D = 9, queryCount = 2407, nowTime = 0.003149, haipara = 200266, score =   43907, sum =  49868341
num = 93, N = 74, Q = 161, D = 12, queryCount = 205, nowTime = 0.000723, haipara = 200916, score = 1546903, sum =  51415244
num = 94, N = 66, Q = 2009, D = 2, queryCount = 12743, nowTime = 0.013956, haipara = 200226, score =       1, sum =  51415245
num = 95, N = 52, Q = 159, D = 9, queryCount = 170, nowTime = 0.001376, haipara = 200916, score = 1155631, sum =  52570876
num = 96, N = 59, Q = 448, D = 13, queryCount = 462, nowTime = 0.00092, haipara = 200256, score =  314547, sum =  52885423
num = 97, N = 83, Q = 455, D = 12, queryCount = 498, nowTime = 0.001208, haipara = 200316, score =  189905, sum =  53075328
num = 98, N = 74, Q = 204, D = 14, queryCount = 243, nowTime = 0.000931, haipara = 200916, score = 1574626, sum =  54649954
num = 99, N = 64, Q = 956, D = 2, queryCount = 5506, nowTime = 0.006315, haipara = 200226, score =    2551, sum =  54652505
