case,K,T,D,score
380,6,27403,177,848263
381,8,50207,149,679012
382,9,4267,746,1707079
383,8,46599,74,414588
384,19,45332,3575,1749236
385,17,13278,7042,2207760
386,5,16530,21,298597
387,6,27615,80,580098
388,4,4931,36,864663
389,12,60563,22,168431
390,16,7991,125,466864
391,10,5865,355,989175
392,6,9299,2264,1911769
393,19,58202,667,1173173
394,15,25260,14,103600
395,10,45722,4373,1942578
396,20,46216,43,203424
397,20,5933,480,1053906
398,19,10545,9996,1454402
399,4,6824,17,492615
400,9,25326,34,267254
401,10,11457,8059,2856986
402,6,11005,696,1704528
403,10,6257,53,468115
404,19,6071,590,948682
405,14,59591,20,145795
406,5,57970,805,1728004
407,13,6333,1028,1453523
408,9,14496,12,156731
409,5,6272,15,750395
410,19,43488,282,729765
411,12,8833,2530,2188096
412,6,9484,881,1909130
413,17,19858,28,167603
414,5,4890,1307,1939270
415,9,21536,327,1094901
416,14,28589,43,251996
417,12,6355,129,515894
418,13,29133,387,857048
419,11,4556,111,891910
420,5,14267,3926,1909621
421,19,38685,1283,1916923
422,6,27361,602,1245214
423,13,25328,62,330265
424,15,6096,53,435852
425,4,14876,971,1842787
426,8,21393,87,516676
427,9,16344,63,352294
428,10,55997,261,849059
429,10,30566,453,975214
430,11,10026,1437,1786654
431,6,16897,2625,3151458
432,6,28156,2441,1848188
433,9,15969,1898,1774473
434,17,5121,2065,2255684
435,15,36541,18,135578
436,7,61756,1980,1850686
437,7,25399,4386,991381
438,6,22753,3928,2580878
439,18,14963,7677,2646381
440,9,34152,18,170184
441,10,51229,26,199002
442,8,5848,1408,1778562
443,17,5902,20,282989
444,5,38633,91,623762
445,15,22320,162,539565
446,13,18923,27,187317
447,6,7010,247,1100396
448,17,47466,5789,2288799
449,18,4950,1977,1533653
450,11,33053,4272,3265979
451,10,25856,162,663130
452,20,14029,4125,1361879
453,20,33062,30,165096
454,10,4535,2821,3096745
455,11,10561,52,295362
456,14,5384,1094,1707688
457,17,4918,753,1174594
458,6,48522,256,942609
459,12,12312,2130,2711523
460,17,18625,58,278696
461,4,8973,32,252790
462,4,8084,570,1549954
463,13,36277,966,1769069
464,6,8894,131,648602
465,17,51552,44,230477
466,20,16808,1883,1404492
467,6,10441,2887,1877528
468,14,14843,11,101660
469,7,8906,15,379146
470,4,9947,7134,2339615
471,12,37008,1586,1701810
472,7,16179,37,336689
473,14,7975,502,1127807
474,11,8502,57,410831
475,16,30965,191,577069
476,16,14989,1103,1703816
477,6,4880,123,733472
478,7,16249,16,186984
479,4,15682,110,549049
480,7,19372,7059,2728150
481,15,15459,32,186711
482,16,23568,22,149835
483,9,9220,1897,1477668
484,18,37700,30,172000
485,18,4262,956,1464098
486,6,17069,433,1323808
487,20,42265,7942,2975092
488,9,16979,1074,1822794
489,15,33791,1316,1992836
490,17,5193,2486,2296012
491,15,31764,78,347275
492,14,41322,52,270523
493,8,5585,4372,2677377
494,4,46504,11,232793
495,5,4050,85,1158741
496,10,9540,16,252597
497,9,15938,110,554994
498,16,18871,10,85758
499,17,13423,19,130310
500,19,52185,19,119166
501,9,37978,153,699550
502,8,27490,1311,1510399
503,11,42766,35,248297
504,10,8265,40,345727
505,10,22640,1355,1993679
506,7,32689,27,260621
507,15,33943,190,613954
508,19,4894,156,686093
509,12,8343,1841,2399458
510,19,19578,159,521469
511,11,14578,29,213222
512,4,18901,33,376429
513,15,60537,5938,2353241
514,20,10761,172,538881
515,10,9483,70,382011
516,4,9553,335,1441458
517,5,52680,13,209198
518,8,5542,16,887991
519,9,4842,1315,2125927
520,10,16167,189,700739
521,6,27733,5962,2434353
522,10,15951,3147,2548858
523,19,17139,690,1247637
524,14,10524,4740,1549362
525,6,13483,510,1504115
526,4,10942,1730,2250722
527,18,16499,25,149947
528,12,23687,5926,1489528
529,17,4560,1563,1716193
530,9,8801,192,742341
531,7,15198,72,468191
532,15,10864,1656,2045117
533,11,56773,140,510667
534,7,62973,1173,1661152
535,4,62662,134,855332
536,9,5274,19,700844
537,7,18367,66,458117
538,18,5417,66,395805
539,9,5060,344,1014897
540,10,22527,1801,2375719
541,15,35328,2568,1548815
542,20,14130,1503,2045598
543,15,35352,301,743256
544,4,6745,3819,2768260
545,19,30060,204,593545
546,7,23625,8970,2976743
547,5,32722,589,1335965
548,8,14622,28,233817
549,11,49478,23,186236
550,13,4277,129,987345
551,8,39974,629,1436445
552,13,18748,8771,1745496
553,9,39134,3097,1259298
554,9,17103,7139,2380313
555,8,6455,657,1341289
556,9,11158,7334,2947682
557,18,6210,4682,1633976
558,16,6948,55,357170
559,6,11595,5889,2520386
560,11,8780,6116,2198049
561,10,9657,695,1376836
562,13,6109,787,1240896
563,11,10107,5472,1978689
564,19,11780,11,89894
565,16,5390,3174,1251938
566,18,13192,11,87394
567,13,15421,11,99237
568,19,39307,2411,2442723
569,9,13549,4773,1505543
570,7,27241,9101,1368189
571,19,25378,589,1081881
572,18,17688,3931,1637521
573,14,4845,930,1616051
574,10,36844,6426,1720717
575,17,7935,691,1276207
576,20,51761,20,119231
577,19,43884,128,436644
578,6,27985,11,186133
579,7,14035,450,1113707
580,17,28911,36,192961
581,15,31082,19,144533
582,10,11157,50,306146
583,14,6895,4382,2193413
584,16,11387,9578,1942860
585,15,9077,145,527598
586,9,14458,1778,2265887
587,7,21820,865,1845674
588,6,4174,49,1309945
589,9,4029,97,1066865
590,8,25961,18,170121
591,9,22641,5172,1907109
592,11,29309,205,687450
593,12,15221,417,945413
594,5,50568,617,1493273
595,7,14560,67,441734
596,5,34722,841,1401740
597,6,57825,10,201891
598,17,27133,64,299174
599,20,11867,46,219239
600,8,14695,13,154065
601,4,19330,89,717076
602,19,18255,971,962974
603,10,37369,320,955641
604,18,5207,45,498933
605,16,33673,3550,1947457
606,12,46698,115,450090
607,12,43677,204,721485
608,17,28444,5767,3683122
609,16,40676,13,101491
610,10,47300,1712,2422384
611,13,14942,49,269234
612,7,4478,170,1023124
613,15,4689,5577,1690880
614,10,60977,128,534375
615,20,6331,1028,1590546
616,6,9580,128,660337
617,15,16895,725,1468390
618,10,30212,184,675313
619,10,37405,141,612981
620,12,5802,324,890500
621,8,47819,730,1711783
622,6,30642,114,607960
623,13,9775,974,1679413
624,19,4644,255,762712
625,12,26829,154,597444
626,12,17106,81,398663
627,9,21908,215,798324
628,16,10665,4825,2411667
629,6,45678,23,278788
630,15,4532,5019,2541615
631,14,14381,3901,1245819
632,18,8616,1337,1823698
633,7,4290,184,936961
634,15,59128,1252,1830610
635,9,61659,30,241745
636,6,6423,210,977551
637,12,63248,10,102005
638,5,35700,14,198748
639,10,30043,42,298847
640,7,17870,361,1091380
641,19,39502,1103,1630625
642,10,8929,2728,3089058
643,16,11719,117,449785
644,11,13899,47,285052
645,8,48686,2134,1399063
646,5,38559,45,422824
647,13,13230,54,291521
648,11,42228,811,1411339
649,10,19637,23,198536
650,5,6327,115,786606
651,13,11805,6621,1859897
652,18,6161,660,1076995
653,4,10471,7486,3386187
654,16,20554,5069,1466884
655,13,4290,534,1292173
656,6,13746,53,447317
657,15,15712,316,794008
658,18,13113,462,1084272
659,7,5036,1079,1908762
660,13,10103,529,1046495
661,11,50375,86,447306
662,18,16185,25,157155
663,19,17761,26,153193
664,5,54264,4309,2229194
665,10,4060,6213,1673000
666,12,25430,14,124544
667,18,6979,14,283397
668,9,62516,2380,2372233
669,8,53409,27,214646
670,18,6274,105,450020
671,10,13352,139,616354
672,20,36627,509,1008648
673,5,8287,143,743135
674,12,46348,4130,2356576
675,4,29018,3537,2542853
676,18,31660,53,258316
677,9,4132,3632,1983088
678,6,11287,1234,2046091
679,10,5245,567,1287679
680,11,11979,1803,2434516
681,19,5252,265,659412
682,11,18714,458,1059409
683,11,35954,7651,1697173
684,15,60595,22,155851
685,13,12894,116,451189
686,16,7832,192,601946
