 86,  4,  5759, 3537,  466831,   35370,  431460, 0.1320025,  32, 0.2151438,
 87, 10, 43043, 1805,  567235,   36100,  531134, 0.1394811,  32, 0.5051807,
 88, 12,  6525,  107,  191297,   31886,  159410, 0.0563733,  34, 0.7670009,
 89, 16,  6450,   47,  130458,   14053,  116404, 0.0534181,  34, 0.9155009,
 90,  7,  5048, 1286,  468426,  191614,  276811, 0.0924967,  33, 0.5080671,
 91, 12, 21888,   94,  182561,   28012,  154548, 0.0488949,  34, 2.0429293,
 92, 19, 29145,   26,  124722,    7748,  116973, 0.0515362,  34, 2.0539791,
 93, 16, 12169, 1188,  444270,  277992,  166277, 0.0428189,  33, 0.8141094,
 94,  4,  5549,   60,  370022,   18900,  351121, 0.1435549,  35, 0.4966917,
 95, 10,  7463,   16,  165390,    4800,  160589, 0.0599458,  34, 0.7968914,
 96, 14, 15629,   17,  137123,   75038,   62084, 0.0159944,   2, 2.3277676,
 97, 11, 19439, 1846,  603357,   31382,  571974, 0.1841576,  32, 0.5980030,
 98, 14, 42740, 2205,  503666,   37485,  466180, 0.1107242,  32, 0.9427446,
 99, 13, 13822,  263,  224329,   78111,  146217, 0.0506198,  34, 1.5097122,
100, 13, 59879,  649,  324990,  152515,  172474, 0.0469729,  33, 1.0060686,
101,  5, 12798,  154,  299772,   47740,  252031, 0.1136736,  35, 2.0529145,
102, 12, 38204, 2022,  549996,   40440,  509555, 0.1100829,  32, 1.0174529,
103, 11,  4631,   11,  147012,    3245,  143766, 0.0426627,  34, 0.6717908,
104, 14, 16098,  375,  250925,   87375,  163549, 0.0528210,  33, 1.1463494,
105,  6, 32414, 6991,  548396,   48937,  499458, 0.1664018,  32, 0.3244723,
106,  7, 13040,   28,  188672,    8904,  179767, 0.1502707,  35, 2.0317933,
107, 11,  7935,   20,  176815,    5900,  170914, 0.0698113,  34, 0.9661091,
108,  4,  5864, 2444,  447826,  173524,  274301, 0.0777491,  33, 0.3224069,
109,  5,  5163,   17,  157076,    4930,  152145, 0.0518279,  34, 0.5073878,
110, 17, 12924, 3889,  501302,   97225,  404076, 0.1050793,  32, 0.8846168,
111, 17, 14201,  104,  162503,   33072,  129430, 0.0695495,  35, 1.9695132,
112,  9,  6318,   53,  214287,   15794,  198492, 0.0953377,  34, 0.6476184,
113, 11, 17522,  201,  181789,   59496,  122292, 0.0546413,  34, 1.1467814,
114, 10, 57626,  334,  225299,   99198,  126100, 0.0329979,  34, 1.1437639,
115,  8, 11671,   13,  159046,    3848,  155197, 0.0639883,  34, 2.0627024,
116, 13, 10869, 7539,  675528,  211092,  464435, 0.1087426,  32, 0.9683757,
117, 16,  4532,   36,  139128,   10800,  128327, 0.0581414,  34, 0.9594224,
118, 10, 19518, 5277,  555174,   68601,  486572, 0.1050785,  32, 0.4757593,
119, 13, 51179,   34,  152014,   10098,  141915, 0.0630475,  34, 2.0483966,
120, 10,  5927,   23,  173797,    6877,  166919, 0.0773621,  34, 0.7439587,
121, 11, 13654, 2625,  444188,   70875,  373312, 0.1098652,  32, 0.6478604,
122, 16,  7624,  179,  163946,   53342,  110603, 0.0389336,  34, 1.9972779,
123, 17,  8237, 5354,  560149,  133850,  426298, 0.0922531,  32, 0.8075602,
124,  4, 13926, 5533,  710607,  381777,  328829, 0.1219251,  33, 0.2510945,
125, 14, 16290,   40,  146794,   11880,  134913, 0.0520543,  34, 1.8971571,
126, 16, 20013,  134,  153181,   39798,  113382, 0.0369555,  34, 1.5727386,
127, 18, 23078,   48,  134672,   14208,  120463, 0.0520564,  34, 1.8326948,
128, 13, 10877,   18,  143083,    5382,  137700, 0.0520595,  34, 1.6358945,
129, 13, 10518,   35,  169272,   10325,  158946, 0.0741878,  34, 1.7746471,
130, 17, 19743, 7829,  582143,  195725,  386417, 0.0847338,  32, 0.6911932,
