 18986,  33155,  45563,  56566,  66437,  75402,  83447,  90334,  96118,  99735,  95, 10,  7463,   16,  116889,   17152,   99736, 0.0350267,  45, 11.2758060,  3838,
Error: add_turn_3 called after max_t reached.
 14366,  25981,  36128,  45246,  53453,  60828,  67457,  73189,  77938,  81070,  96, 14, 15629,   17,   99602,   18530,   81071, 0.0212599,  45, 20.2858035,  3863,
  9501,  16870,  22989,  28253,  32839,  36763,  40116,  42945,  45119,  46302,  97, 11, 19439, 1846,   88761,   42458,   46302, 0.0161017, 506, 6.5105887, 17452,
  7808,  13578,  18355,  22295,  25657,  28540,  30998,  32998,  34514,  35444,  98, 14, 42740, 2205,   81750,   46305,   35444, 0.0137724, 520, 3.9861157, 20101,
 29372,  50463,  68637,  84746,  99177, 112086, 123618, 133357, 141197, 146217,  99, 13, 13822,  263,  224329,   78111,  146217, 0.0506198,  34, 27.4647903,  2297,
  7924,  13585,  18172,  21926,  25171,  27972,  30366,  32354,  33944,  34926, 100, 13, 59879,  649,   83602,   48675,   34926, 0.0137863, 520, 6.3573604, 21311,
 42495,  74697, 102608, 127475, 149846, 170066, 187628, 202689, 215036, 222859, 101,  5, 12798,  154,  281689,   58828,  222860, 0.0803222,  45, 21.7910210,  2454,
  8370,  14558,  19555,  23777,  27385,  30424,  32980,  35062,  36627,  37571, 102, 12, 38204, 2022,   88122,   50550,   37571, 0.0143873, 520, 3.5334404, 20233,
 15274,  27594,  38386,  47986,  56535,  64195,  70998,  76914,  81751,  84840, 103, 11,  4631,   11,   97547,   12705,   84841, 0.0245856,  45, 5.6369264,  4002,
 30197,  53486,  73840,  92212, 108778, 123559, 136715, 148204, 157606, 163548, 104, 14, 16098,  375,  250925,   87375,  163549, 0.0528210,  33, 29.7426404,  2233,
 13181,  22165,  29618,  35901,  41100,  45284,  48698,  51395,  53451,  54690, 105,  6, 32414, 6991,  152565,   97874,   54690, 0.0271825, 520, 1.4504213, 19309,
 24707,  42538,  57656,  71133,  83216,  93855, 103164, 111094, 117280, 121078, 106,  7, 13040,   28,  144264,   23184,  121079, 0.0611743,  45, 18.3622584,  3349,
 19535,  35002,  48601,  60771,  71879,  81929,  90829,  98436, 104707, 108580, 107, 11,  7935,   20,  129402,   20820,  108581, 0.0276975,  45, 10.2736752,  3772,
 48484,  87837, 123020, 154207, 182304, 207461, 229788, 249118, 264613, 274301, 108,  4,  5864, 2444,  447826,  173524,  274301, 0.0777491,  33, 6.3808225,  2071,
 19840,  34658,  47772,  59444,  69892,  79085,  87189,  94206,  99966, 103625, 109,  5,  5163,   17,  118808,   15181,  103626, 0.0283660,  45, 6.3469979,  3491,
 75902, 136858, 189164, 235310, 276381, 312993, 344641, 371229, 392276, 404076, 110, 17, 12924, 3889,  501302,   97225,  404076, 0.1050793,  32, 13.9160207,  2025,
 23119,  40532,  55546,  68866,  80818,  91408, 100629, 108636, 115210, 119103, 111, 17, 14201,  104,  158521,   39416,  119104, 0.0415277,  45, 23.9953212,  2441,
 26950,  47651,  65632,  81862,  96472, 109631, 121379, 131624, 139635, 144785, 112,  9,  6318,   53,  181834,   37047,  144786, 0.0459250,  45, 9.7286054,  3088,
 23491,  40928,  56151,  69740,  81745,  92504, 101961, 110090, 116782, 121245, 113, 11, 17522,  201,  181747,   60501,  121245, 0.0484981,  44, 29.4163266,  2304,
  6347,  10935,  14634,  17736,  20402,  22659,  24549,  26131,  27372,  28140, 114, 10, 57626,  334,   48850,   20708,   28141, 0.0127941, 520, 5.9778060, 20983,
