 31,  9, 19673, 1768, 1713571,  129064, 1584506, 0.2804279, 0.2080589,
 32, 13,  6266,  536, 1127950,  638376,  489573, 0.1565036, 0.4520871,
 33, 14, 24354,   10,  100086,   53120,   46965, 0.0122091, 1.6835528,
 34,  5, 20262,  871, 1192413,  292656,  899756, 0.1951213, 0.3272389,
 35,  4, 37391,   73,  441348,  228271,  213076, 0.0687554, 1.9111380,
 36,  9,  4971, 5464, 1671756,       0, 1671755, 0.3863476, 0.1559963,
 37,  4,  8863,  685, 1484901,  465800, 1019100, 0.2201103, 0.4749482,
 38,  5,  8509, 1422, 2072179,  629946, 1442232, 0.2854767, 0.2533001,
 39, 13,  4582,  597, 1146444,  491928,  654515, 0.1639638, 0.3889069,
 40, 20,  4244, 6407, 1028458,       0, 1028457, 0.2207184, 0.1420873,
 41, 10,  4826,  789, 1495644,  783477,  712166, 0.2004124, 0.4332255,
 42, 18, 23398,   10,   84599,   45770,   38828, 0.0109230, 1.4589123,
 43, 10, 27100,  232,  800293,  462840,  337452, 0.0989268, 0.9267156,
 44, 11, 33224,   33,  231899,  150546,   81352, 0.0255080, 2.2300037,
 45,  9, 37196, 2348, 2270245,  328720, 1941524, 0.3129270, 0.2290960,
 46,  4, 34893, 2817, 2570274,  515511, 2054762, 0.3922226, 0.2208255,
 47, 14, 14522, 4240, 1308015,       0, 1308014, 0.2592624, 0.1503674,
 48,  6, 56004,   89,  618425,  351105,  267319, 0.0875372, 2.2153864,
 49,  8, 34514,   40,  278899,  173680,  105218, 0.0300226, 2.3594139,
 50,  7,  6864,  646, 1287309,  390830,  896478, 0.2133128, 0.4076354,
 51, 10, 10464,  315,  849516,  474705,  374810, 0.1086753, 0.6280697,
 52, 19, 10174,  291,  721931,  422241,  299689, 0.0953725, 0.9140963,
 53, 11, 26998,  176,  592990,  333520,  259469, 0.0687175, 0.8684950,
 54, 16,  5567,   16,  593701,   15536,  578164, 0.1330285, 0.2848563,
 55, 18, 27450,   30,  169630,  116400,   53229, 0.0202735, 1.4728971,
 56, 13, 10382,   18,  174457,   65304,  109152, 0.0222365, 1.0396715,
 57,  5, 17939, 1717, 1946206,  540855, 1405350, 0.2793678, 0.2367811,
 58, 20,  4644,   27,  526617,   26865,  499751, 0.1064386, 0.2802682,
 59, 14,  5624,   14,  474311,   13958,  460352, 0.0993333, 0.2914808,
 60, 16,  5520, 4453, 1999880,       0, 1999879, 0.3159311, 0.1526055,
 61, 12, 19528,   64,  335030,  212928,  122101, 0.0369650, 2.0695489,
 62, 11, 35357, 3332, 2367472,       0, 2367471, 0.3665677, 0.1615150,
 63, 13, 10965, 3247, 1759080,       0, 1759079, 0.2984738, 0.1468747,
 64,  5, 11069, 2365, 1575679,    7095, 1568583, 0.3263282, 0.1949934,
